"ntree","mtry","train_mse","param_idx"
100,10,0.745217950437595,1
150,10,0.735358925915738,2
200,10,0.739451760841376,3
100,20,0.69724947176243,4
150,20,0.679035384720813,5
200,20,0.678987527757959,6
100,30,0.653768484501839,7
150,30,0.647826703048368,8
200,30,0.641745941885861,9
100,10,0.772046442840134,1
150,10,0.761090138320449,2
200,10,0.738355446816045,3
100,20,0.678825163741438,4
150,20,0.693346869457833,5
200,20,0.679826342489536,6
100,30,0.68759529805619,7
150,30,0.663599728514854,8
200,30,0.646559283866058,9
100,10,0.759301290366565,1
150,10,0.753013690583201,2
200,10,0.735926029538039,3
100,20,0.697595277888762,4
150,20,0.659356159863155,5
200,20,0.671570182119245,6
100,30,0.667024783747146,7
150,30,0.664720563743728,8
200,30,0.656487872780315,9
100,40,0.650650255303463,1
150,40,0.650359088611252,2
200,40,0.640720963620941,3
250,40,0.637161680925926,4
300,40,0.641081397876853,5
100,50,0.679276750626268,6
150,50,0.651648028316844,7
200,50,0.663785195562215,8
250,50,0.631012066812532,9
300,50,0.634929643240177,10
100,40,0.660163925902144,1
150,40,0.64342256504383,2
200,40,0.650649247417634,3
250,40,0.65806632884069,4
300,40,0.647663195732214,5
100,50,0.65657707859272,6
150,50,0.652751561901037,7
200,50,0.656463520290303,8
250,50,0.64905847111999,9
300,50,0.641530287017659,10
100,40,0.699490142036086,1
150,40,0.68321593701026,2
200,40,0.680923116152968,3
250,40,0.686794038060629,4
300,40,0.699402530431711,5
100,50,0.719678534508181,6
150,50,0.699947026967416,7
200,50,0.693859549701135,8
250,50,0.684657841341959,9
300,50,0.693427328905413,10
